64, 7, 1.26e-03, 5.76e-01
121, 14, 1.19e-03, 5.76e-01
256, 23, 3.30e-03, 5.76e-01
484, 33, 2.28e-03, 5.89e-01
1024, 49, 2.37e-03, 6.52e-01
2025, 70, 3.66e-03, 7.78e-01
4096, 102, 1.30e-02, 1.04e+00
8100, 144, 3.76e-02, 1.55e+00
16384, 208, 1.51e-01, 2.60e+00
32761, 296, 3.43e-01, 4.69e+00
65536, 423, 3.96e-01, 8.87e+00
131044, 602, 1.11e+00, 1.72e+01
262144, 858, 4.15e+00, 3.40e+01
524176, 1223, 7.40e+00, 6.75e+01
1048576, 1743, 2.21e+01, 1.35e+02
1481089, 2077, 3.49e+01, 1.90e+02
2096704, 2481, 6.53e+01, 2.69e+02
2965284, 2960, 9.63e+01, 3.80e+02
4194304, 3532, 1.76e+02, 5.37e+02
5929225, 4212, 2.70e+02, 7.59e+02
8386816, 5026, 4.64e+02, 1.07e+03
