64, 1, 1.89e-03, 6.05e-01
121, 2, 2.05e-03, 6.13e-01
256, 2, 2.21e-03, 6.29e-01
484, 2, 2.62e-03, 6.57e-01
1024, 2, 3.73e-03, 7.24e-01
2025, 2, 5.44e-03, 8.50e-01
4096, 3, 2.05e-02, 1.14e+00
8100, 3, 4.70e-02, 1.77e+00
16384, 4, 1.55e-01, 3.07e+00
32761, 5, 2.06e-01, 5.67e+00
65536, 6, 4.25e-01, 1.09e+01
131044, 8, 1.03e+00, 2.13e+01
262144, 12, 2.95e+00, 4.22e+01
524176, 16, 6.66e+00, 8.41e+01
1048576, 22, 1.84e+01, 1.68e+02
1481089, 27, 2.75e+01, 2.37e+02
2096704, 32, 4.00e+01, 3.35e+02
2965284, 39, 7.07e+01, 4.74e+02
4194304, 46, 1.26e+02, 6.71e+02
